page_index,source_image,page_type,engine_used,mean_confidence,low_confidence,word_count,notes
80,IMG_20260126_171548371.jpg,TEXT_PAGE,tesseract,83.52,False,336,
81,IMG_20260126_171552663.jpg,FIGURE_PAGE,tesseract,40.57,True,7,caption-only
82,IMG_20260126_171559134.jpg,TEXT_PAGE,tesseract,74.48,False,269,
83,IMG_20260126_171602423.jpg,TEXT_PAGE,tesseract,83.01,False,431,
84,IMG_20260126_171609646.jpg,TEXT_PAGE,tesseract,74.55,False,267,
85,IMG_20260126_171622545.jpg,TEXT_PAGE,tesseract,84.07,False,397,
86,IMG_20260126_171635159.jpg,TEXT_PAGE,tesseract,86.56,False,314,
87,IMG_20260126_171638420.jpg,TEXT_PAGE,tesseract,81.56,False,307,
88,IMG_20260126_171646667.jpg,TEXT_PAGE,tesseract,85.19,False,382,
89,IMG_20260126_171650086.jpg,TEXT_PAGE,tesseract,84.82,False,252,
9,IMG_20260126_165351985.jpg,TEXT_PAGE,tesseract,89.25,False,530,
90,IMG_20260126_171657022.jpg,CLIPPING_PAGE,tesseract,84.2,False,338,
91,IMG_20260126_171700466.jpg,TEXT_PAGE,tesseract,83.79,False,225,
92,IMG_20260126_171716487.jpg,TEXT_PAGE,tesseract,85.61,False,222,
93,IMG_20260126_171719828.jpg,TEXT_PAGE,tesseract,82.21,False,503,
94,IMG_20260126_171726974.jpg,TEXT_PAGE,tesseract,86.78,False,374,
95,IMG_20260126_171730980.jpg,TEXT_PAGE,tesseract,82.36,False,406,
96,IMG_20260126_171737707.jpg,TEXT_PAGE,tesseract,87.69,False,302,
97,IMG_20260126_171741978.jpg,TEXT_PAGE,tesseract,83.57,False,132,
98,IMG_20260126_171750800.jpg,TEXT_PAGE,tesseract,87.8,False,222,
99,IMG_20260126_171754408.jpg,TEXT_PAGE,tesseract,72.23,False,255,
